Date,Merchant,Category,Amount
2023-01-01,Kroger,grocery,166.46
2023-01-02,Radisson,hotel,335.93
2023-01-02,Taco Bell,restaurant,120.82
2023-01-02,Chipotle,restaurant,39.92
2023-01-03,Red Lobster,restaurant,10.4
2023-01-03,Aldi,grocery,64.19
2023-01-04,Walmart,grocery,73.93
2023-01-04,Comfort Inn,hotel,173.65
2023-01-04,Taco Bell,restaurant,45.97
2023-01-04,Starbucks,restaurant,23.57
2023-01-05,Starbucks,restaurant,31.26
2023-01-05,Whole Foods,grocery,244.78
2023-01-08,Safeway,grocery,102.12
2023-01-08,Lyft,transportation,72.5
2023-01-08,Costco,grocery,171.99
2023-01-08,76 Gas,transportation,22.96
2023-01-08,Marriott,hotel,208.44
2023-01-08,Radisson,hotel,99.78
2023-01-09,McDonald's,restaurant,15.73
2023-01-09,Uber,transportation,24.86
2023-01-09,Aldi,grocery,34.59
2023-01-09,The Cheesecake Factory,restaurant,78.2
2023-01-09,Costco,grocery,52.49
2023-01-10,Subway,restaurant,49.38
2023-01-10,Best Western,hotel,300.85
2023-01-11,Aldi,grocery,120.49
2023-01-11,Marriott,hotel,259.45
2023-01-11,Amtrak,transportation,5.13
2023-01-11,Aldi,grocery,194.68
2023-01-12,Olive Garden,restaurant,96.94
2023-01-12,Kroger,grocery,236.02
2023-01-12,Olive Garden,restaurant,49.95
2023-01-13,Holiday Inn,hotel,136.14
2023-01-14,Hyatt,hotel,133.79
2023-01-15,Olive Garden,restaurant,130.48
2023-01-15,Target,grocery,148.37
2023-01-15,Trader Joes,grocery,162.95
2023-01-16,Best Western,hotel,151.82
2023-01-16,Red Lobster,restaurant,84.46
2023-01-16,76 Gas,transportation,31.23
2023-01-16,Hilton,hotel,337.66
2023-01-16,Whole Foods,grocery,149.48
2023-01-18,Safeway,grocery,209.74
2023-01-18,Red Lobster,restaurant,34.09
2023-01-19,Radisson,hotel,229.55
2023-01-19,Sheraton,hotel,337.48
2023-01-19,Taco Bell,restaurant,140.19
2023-01-20,The Cheesecake Factory,restaurant,136.77
2023-01-21,Target,grocery,175.15
2023-01-22,Metro Transit,transportation,38.66
2023-01-23,Whole Foods,grocery,120.47
2023-01-25,Lyft,transportation,56.16
2023-01-25,Amtrak,transportation,58.42
2023-01-26,Whole Foods,grocery,94.95
