Date,Merchant,Category,Amount,Card_Used
2023-01-01,Costco,grocery,234.67,citi-custom-cash
2023-01-01,Lyft,transportation,20.12,citi-custom-cash
2023-01-01,Marriott,hotel,358.56,chase-sapphire-reserve
2023-01-02,Taco Bell,restaurant,143.24,amex-gold
2023-01-04,Chick-fil-A,restaurant,149.81,citi-custom-cash
2023-01-05,Olive Garden,restaurant,23.57,chase-freedom-unlimited
2023-01-07,Chick-fil-A,restaurant,105.31,amex-gold
2023-01-08,Whole Foods,grocery,86.35,amex-gold
2023-01-10,Panera Bread,restaurant,43.78,chase-sapphire-preferred
2023-01-10,Panera Bread,restaurant,45.88,wells-fargo-autograph
2023-01-11,Subway,restaurant,114.41,capital-one-savor
2023-01-12,Chipotle,restaurant,66.07,amex-gold
2023-01-15,Walmart,grocery,112.25,citi-custom-cash
2023-01-15,BP Gas,transportation,58.24,capital-one-quicksilver
2023-01-16,Taco Bell,restaurant,69.55,citi-premier
2023-01-17,Olive Garden,restaurant,50.74,citi-custom-cash
2023-01-17,Taco Bell,restaurant,16.88,citi-custom-cash
2023-01-18,McDonald's,restaurant,71.7,amex-gold
2023-01-22,Target,grocery,183.83,amex-blue-cash-preferred
2023-01-22,The Cheesecake Factory,restaurant,140.65,amex-gold
2023-01-25,McDonald's,restaurant,130.91,citi-premier
2023-01-27,McDonald's,restaurant,82.39,capital-one-savor
2023-01-27,Chipotle,restaurant,24.67,capital-one-savor
2023-01-29,Kroger,grocery,148.78,amex-blue-cash-preferred
2023-01-29,Metro Transit,transportation,44.04,wells-fargo-autograph
2023-02-03,Taco Bell,restaurant,63.87,citi-custom-cash
2023-02-04,Panera Bread,restaurant,38.6,citi-custom-cash
2023-02-04,Panera Bread,restaurant,100.55,amex-gold
2023-02-04,Subway,restaurant,61.39,wells-fargo-autograph
2023-02-05,Safeway,grocery,217.08,amex-gold
2023-02-06,Chick-fil-A,restaurant,141.61,citi-custom-cash
2023-02-07,Panera Bread,restaurant,75.59,chase-sapphire-preferred
2023-02-08,Amtrak,transportation,281.01,citi-custom-cash
2023-02-10,Olive Garden,restaurant,86.8,citi-custom-cash
2023-02-12,Target,grocery,114.77,chase-sapphire-preferred
2023-02-12,Lyft,transportation,80.42,bofa-customized-cash
2023-02-12,McDonald's,restaurant,68.41,chase-sapphire-preferred
2023-02-13,Radisson,hotel,392.28,amex-platinum
2023-02-14,Panera Bread,restaurant,135.07,citi-custom-cash
2023-02-15,Olive Garden,restaurant,35.9,citi-custom-cash
2023-02-18,Chick-fil-A,restaurant,50.2,amex-gold
2023-02-19,Whole Foods,grocery,85.7,capital-one-savor
2023-02-19,McDonald's,restaurant,34.05,citi-custom-cash
2023-02-19,Chick-fil-A,restaurant,15.43,bofa-premium-rewards
2023-02-20,Chipotle,restaurant,148.04,chase-sapphire-preferred
2023-02-23,Olive Garden,restaurant,104.56,chase-sapphire-preferred
2023-02-26,Safeway,grocery,203.55,wells-fargo-active-cash
2023-02-26,Lyft,transportation,51.83,citi-custom-cash
2023-02-28,Starbucks,restaurant,37.88,amex-gold
2023-03-01,Olive Garden,restaurant,149.39,citi-custom-cash
2023-03-03,Taco Bell,restaurant,92.85,chase-freedom-unlimited
2023-03-03,Red Lobster,restaurant,27.01,citi-custom-cash
2023-03-05,Safeway,grocery,210.48,citi-custom-cash
2023-03-05,McDonald's,restaurant,123.36,citi-custom-cash
2023-03-06,The Cheesecake Factory,restaurant,111.93,capital-one-savor
2023-03-09,Taco Bell,restaurant,132.56,bofa-premium-rewards
2023-03-10,Taco Bell,restaurant,111.74,chase-sapphire-preferred
2023-03-12,Whole Foods,grocery,155.47,amex-gold
2023-03-12,Metro Transit,transportation,45.22,bofa-customized-cash
2023-03-15,Olive Garden,restaurant,56.34,chase-freedom-unlimited
2023-03-16,Chick-fil-A,restaurant,139.5,amex-gold
2023-03-18,Amtrak,transportation,705.83,bofa-customized-cash
2023-03-18,McDonald's,restaurant,69.88,amex-gold
2023-03-19,Costco,grocery,191.43,amex-blue-cash-preferred
2023-03-19,The Cheesecake Factory,restaurant,137.6,amex-gold
2023-03-21,Chick-fil-A,restaurant,141.38,amex-gold
2023-03-25,Subway,restaurant,51.29,citi-custom-cash
2023-03-26,Aldi,grocery,189.46,amex-blue-cash-preferred
2023-03-26,Lyft,transportation,19.94,wells-fargo-autograph
2023-03-28,Taco Bell,restaurant,140.98,citi-custom-cash
2023-03-30,The Cheesecake Factory,restaurant,104.11,capital-one-savor
2023-03-31,McDonald's,restaurant,44.97,wells-fargo-autograph
2023-04-02,Target,grocery,166.2,citi-custom-cash
2023-04-02,The Cheesecake Factory,restaurant,65.3,citi-custom-cash
2023-04-03,Hilton,hotel,322.93,capital-one-venture
2023-04-04,The Cheesecake Factory,restaurant,63.79,chase-sapphire-preferred
2023-04-06,Olive Garden,restaurant,128.16,capital-one-savor
2023-04-06,McDonald's,restaurant,85.1,chase-sapphire-preferred
2023-04-09,Trader Joes,grocery,188.22,capital-one-savor
2023-04-09,Amtrak,transportation,15.13,citi-custom-cash
2023-04-09,Chick-fil-A,restaurant,114.9,capital-one-savor
2023-04-10,Panera Bread,restaurant,45.3,citi-custom-cash
2023-04-12,The Cheesecake Factory,restaurant,117.08,capital-one-savor
2023-04-13,Starbucks,restaurant,146.51,amex-gold
2023-04-16,Safeway,grocery,249.89,amex-blue-cash-preferred
2023-04-19,McDonald's,restaurant,105.71,amex-gold
2023-04-20,Olive Garden,restaurant,113.01,capital-one-savor
2023-04-22,McDonald's,restaurant,100.17,capital-one-savor
2023-04-23,Trader Joes,grocery,212.66,amex-blue-cash-preferred
2023-04-23,BP Gas,transportation,79.31,bofa-customized-cash
2023-04-24,Red Lobster,restaurant,140.23,capital-one-savor
2023-04-25,Taco Bell,restaurant,34.92,chase-sapphire-preferred
2023-04-25,Chick-fil-A,restaurant,52.93,chase-freedom-unlimited
2023-04-27,Subway,restaurant,39.68,capital-one-savor
2023-04-30,Trader Joes,grocery,201.24,amex-blue-cash-preferred
2023-05-01,Subway,restaurant,50.72,chase-freedom-unlimited
2023-05-01,Olive Garden,restaurant,70.97,amex-gold
2023-05-06,Hilton,hotel,212.46,amex-platinum
2023-05-06,Chick-fil-A,restaurant,127.38,amex-gold
2023-05-07,Safeway,grocery,174.4,amex-blue-cash-preferred
2023-05-07,Lyft,transportation,71.69,citi-custom-cash
2023-05-09,Olive Garden,restaurant,109.87,amex-gold
2023-05-10,Taco Bell,restaurant,21.47,wells-fargo-autograph
2023-05-11,Panera Bread,restaurant,39.92,amex-gold
2023-05-14,Costco,grocery,180.71,chase-freedom-flex
2023-05-14,McDonald's,restaurant,103.85,chase-sapphire-preferred
2023-05-14,Chipotle,restaurant,117.75,citi-custom-cash
2023-05-15,Red Lobster,restaurant,26.97,citi-custom-cash
2023-05-20,Taco Bell,restaurant,125.62,citi-premier
2023-05-21,Kroger,grocery,103.13,chase-sapphire-preferred
2023-05-21,BP Gas,transportation,28.81,citi-custom-cash
2023-05-21,Starbucks,restaurant,112.66,wells-fargo-autograph
2023-05-22,Starbucks,restaurant,23.85,citi-premier
2023-05-23,McDonald's,restaurant,127.95,citi-custom-cash
2023-05-24,McDonald's,restaurant,46.09,capital-one-savor
2023-05-28,Safeway,grocery,223.64,citi-custom-cash
2023-05-29,McDonald's,restaurant,144.37,capital-one-savor
2023-05-30,Starbucks,restaurant,72.77,bofa-premium-rewards
2023-06-03,Chipotle,restaurant,141.08,citi-custom-cash
2023-06-04,Aldi,grocery,249.85,citi-custom-cash
2023-06-04,Amtrak,transportation,36.16,bofa-customized-cash
2023-06-04,Chipotle,restaurant,58.58,citi-custom-cash
2023-06-06,Chick-fil-A,restaurant,59.84,citi-custom-cash
2023-06-06,Chipotle,restaurant,95.8,citi-custom-cash
2023-06-08,Panera Bread,restaurant,32.7,amex-gold
2023-06-10,Best Western,hotel,156.03,amex-platinum
2023-06-11,Safeway,grocery,181.27,capital-one-savor
2023-06-11,McDonald's,restaurant,28.07,capital-one-savor
2023-06-15,Chipotle,restaurant,33.99,capital-one-savor
2023-06-16,The Cheesecake Factory,restaurant,131.79,capital-one-savor
2023-06-17,McDonald's,restaurant,77.2,bofa-premium-rewards
2023-06-18,Aldi,grocery,159.94,amex-blue-cash-preferred
2023-06-18,BP Gas,transportation,30.56,wells-fargo-autograph
2023-06-18,Panera Bread,restaurant,81.95,amex-gold
2023-06-19,McDonald's,restaurant,29.37,amex-gold
2023-06-20,Chipotle,restaurant,149.41,citi-custom-cash
2023-06-21,The Cheesecake Factory,restaurant,141.93,amex-gold
2023-06-25,Safeway,grocery,143.83,citi-custom-cash
2023-06-26,Starbucks,restaurant,37.24,citi-custom-cash
2023-06-26,Red Lobster,restaurant,10.42,amex-gold
2023-06-27,Starbucks,restaurant,9.74,chase-freedom-unlimited
2023-06-30,Red Lobster,restaurant,16.36,amex-gold
2023-07-02,Walmart,grocery,155.36,citi-custom-cash
2023-07-02,Metro Transit,transportation,48.39,bofa-customized-cash
2023-07-03,The Cheesecake Factory,restaurant,119.14,amex-gold
2023-07-08,Chick-fil-A,restaurant,12.5,capital-one-savor
2023-07-08,Olive Garden,restaurant,18.74,chase-sapphire-preferred
2023-07-09,Safeway,grocery,104.91,amex-blue-cash-preferred
2023-07-09,Taco Bell,restaurant,117.79,amex-gold
2023-07-09,Chick-fil-A,restaurant,71.88,citi-custom-cash
2023-07-13,Comfort Inn,hotel,268.41,chase-sapphire-reserve
2023-07-13,Olive Garden,restaurant,26.66,citi-custom-cash
2023-07-16,Kroger,grocery,167.19,amex-blue-cash-preferred
2023-07-16,BP Gas,transportation,54.0,wells-fargo-active-cash
2023-07-16,McDonald's,restaurant,108.37,citi-custom-cash
2023-07-21,Chipotle,restaurant,76.26,capital-one-savor
2023-07-21,Starbucks,restaurant,67.33,capital-one-savor
2023-07-22,Red Lobster,restaurant,27.2,capital-one-savor
2023-07-23,Safeway,grocery,201.88,citi-custom-cash
2023-07-23,Red Lobster,restaurant,76.08,capital-one-savor
2023-07-24,Chick-fil-A,restaurant,111.52,wells-fargo-autograph
2023-07-24,Chipotle,restaurant,122.27,capital-one-savor
2023-07-29,Starbucks,restaurant,149.52,citi-custom-cash
2023-07-30,Whole Foods,grocery,228.31,chase-freedom-flex
2023-07-30,Uber,transportation,75.54,citi-custom-cash
2023-07-30,Subway,restaurant,99.23,citi-custom-cash
2023-08-01,Panera Bread,restaurant,23.47,amex-gold
2023-08-02,Starbucks,restaurant,116.4,amex-gold
2023-08-04,Chipotle,restaurant,16.31,chase-sapphire-preferred
2023-08-06,Trader Joes,grocery,142.11,chase-sapphire-preferred
2023-08-06,Olive Garden,restaurant,73.18,wells-fargo-autograph
2023-08-07,Starbucks,restaurant,97.23,capital-one-savor
2023-08-10,Red Lobster,restaurant,106.21,amex-gold
2023-08-12,Radisson,hotel,361.98,chase-sapphire-reserve
2023-08-13,Trader Joes,grocery,145.25,citi-double-cash
2023-08-13,Metro Transit,transportation,63.49,citi-custom-cash
2023-08-15,McDonald's,restaurant,109.92,capital-one-savor
2023-08-16,Panera Bread,restaurant,55.35,chase-freedom-unlimited
2023-08-18,Starbucks,restaurant,140.27,chase-sapphire-preferred
2023-08-20,Walmart,grocery,237.28,citi-custom-cash
2023-08-21,The Cheesecake Factory,restaurant,76.68,citi-custom-cash
2023-08-24,Red Lobster,restaurant,53.15,amex-gold
2023-08-24,Subway,restaurant,73.14,wells-fargo-autograph
2023-08-27,Target,grocery,205.36,amex-blue-cash-preferred
2023-08-27,Metro Transit,transportation,36.8,wells-fargo-autograph
2023-08-27,Red Lobster,restaurant,137.48,citi-custom-cash
2023-08-30,Taco Bell,restaurant,118.99,chase-sapphire-preferred
2023-08-30,Taco Bell,restaurant,60.95,amex-gold
2023-08-30,Chipotle,restaurant,9.53,citi-custom-cash
2023-09-03,Costco,grocery,149.66,amex-blue-cash-preferred
2023-09-03,Red Lobster,restaurant,61.05,chase-freedom-unlimited
2023-09-05,Olive Garden,restaurant,48.61,citi-premier
2023-09-05,McDonald's,restaurant,139.11,citi-custom-cash
2023-09-07,McDonald's,restaurant,79.25,citi-custom-cash
2023-09-10,Kroger,grocery,196.58,citi-custom-cash
2023-09-10,Chevron,transportation,20.06,wells-fargo-autograph
2023-09-10,Chipotle,restaurant,35.58,bofa-premium-rewards
2023-09-11,Panera Bread,restaurant,55.23,citi-custom-cash
2023-09-15,Taco Bell,restaurant,62.81,citi-custom-cash
2023-09-17,Trader Joes,grocery,217.58,citi-double-cash
2023-09-21,Red Lobster,restaurant,93.0,citi-custom-cash
2023-09-22,Starbucks,restaurant,120.45,capital-one-savor
2023-09-23,Panera Bread,restaurant,30.8,capital-one-savor
2023-09-24,Kroger,grocery,222.84,amex-blue-cash-preferred
2023-09-24,Shell Gas Station,transportation,39.1,bofa-customized-cash
2023-09-24,McDonald's,restaurant,123.34,citi-premier
2023-09-26,Panera Bread,restaurant,62.42,capital-one-savor
2023-09-28,Chick-fil-A,restaurant,16.53,amex-gold
2023-09-29,McDonald's,restaurant,39.02,capital-one-savor
2023-10-01,Target,grocery,150.42,wells-fargo-active-cash
2023-10-03,Subway,restaurant,82.53,citi-custom-cash
2023-10-05,Panera Bread,restaurant,31.24,citi-custom-cash
2023-10-06,McDonald's,restaurant,91.68,citi-custom-cash
2023-10-08,Aldi,grocery,91.02,citi-custom-cash
2023-10-08,76 Gas,transportation,21.19,wells-fargo-autograph
2023-10-08,Sheraton,hotel,176.96,capital-one-quicksilver
2023-10-08,Chick-fil-A,restaurant,115.56,capital-one-savor
2023-10-10,Olive Garden,restaurant,51.79,citi-custom-cash
2023-10-11,Chick-fil-A,restaurant,103.84,citi-custom-cash
2023-10-11,Chick-fil-A,restaurant,50.79,amex-gold
2023-10-15,Aldi,grocery,143.13,chase-sapphire-preferred
2023-10-15,Panera Bread,restaurant,135.79,amex-gold
2023-10-18,Red Lobster,restaurant,47.3,citi-custom-cash
2023-10-18,Red Lobster,restaurant,12.52,capital-one-savor
2023-10-22,Safeway,grocery,121.41,wells-fargo-active-cash
2023-10-22,Lyft,transportation,53.67,wells-fargo-autograph
2023-10-25,Chipotle,restaurant,143.58,capital-one-savor
2023-10-26,Subway,restaurant,15.24,amex-gold
2023-10-26,Red Lobster,restaurant,92.77,capital-one-savor
2023-10-28,Olive Garden,restaurant,12.57,amex-gold
2023-10-29,Trader Joes,grocery,166.91,chase-sapphire-preferred
2023-11-01,Panera Bread,restaurant,106.87,capital-one-savor
2023-11-04,Red Lobster,restaurant,48.66,citi-custom-cash
2023-11-04,The Cheesecake Factory,restaurant,62.48,chase-sapphire-preferred
2023-11-05,Safeway,grocery,108.61,amex-gold
2023-11-05,Metro Transit,transportation,83.27,citi-custom-cash
2023-11-05,Chick-fil-A,restaurant,114.05,bofa-premium-rewards
2023-11-06,Subway,restaurant,101.22,citi-premier
2023-11-07,Chick-fil-A,restaurant,109.06,citi-custom-cash
2023-11-12,Costco,grocery,139.61,citi-custom-cash
2023-11-12,Panera Bread,restaurant,64.44,capital-one-savor
2023-11-14,Olive Garden,restaurant,78.09,bofa-premium-rewards
2023-11-15,Olive Garden,restaurant,121.12,capital-one-savor
2023-11-18,Red Lobster,restaurant,106.9,citi-custom-cash
2023-11-19,Trader Joes,grocery,141.72,capital-one-savor
2023-11-19,BP Gas,transportation,55.96,bofa-customized-cash
2023-11-20,Olive Garden,restaurant,131.15,amex-gold
2023-11-23,Chick-fil-A,restaurant,14.11,citi-custom-cash
2023-11-23,Panera Bread,restaurant,118.03,chase-sapphire-preferred
2023-11-26,Target,grocery,112.95,amex-gold
2023-11-27,Panera Bread,restaurant,92.17,capital-one-savor
2023-11-28,McDonald's,restaurant,39.93,capital-one-savor
2023-11-29,McDonald's,restaurant,108.86,bofa-premium-rewards
2023-12-01,Comfort Inn,hotel,418.66,capital-one-venture
2023-12-03,Aldi,grocery,106.82,amex-gold
2023-12-03,Uber,transportation,53.03,wells-fargo-autograph
2023-12-04,Red Lobster,restaurant,84.05,amex-gold
